xpixel,ypixel,xestimate,yestimate,time
0,0,66.8681700866,-95.0913117185,2018-04-24 21:03:55.146096
0,0,69.5623991084,-96.6243287077,2018-04-24 21:03:59.646955
0,0,68.3054307591,-96.8158880913,2018-04-24 21:04:02.864805
0,0,64.1123495047,-92.886838623,2018-04-24 21:04:06.842527
0,0,64.4655436231,-97.4579080451,2018-04-24 21:04:07.928999
0,0,64.6457743053,-98.2560143105,2018-04-24 21:04:08.689343
0,0,11.0000119545,-50.0346206189,2018-04-24 21:04:09.362561
0,0,5.52292597652,-91.6746088633,2018-04-24 21:04:10.002225
0,0,22.9162618433,-92.8847384672,2018-04-24 21:04:10.636805
0,0,13.6428830489,-85.8246707896,2018-04-24 21:04:11.246006
0,0,19.6781525695,-88.1883192762,2018-04-24 21:04:11.863766
0,0,11.3164575254,-86.2401914087,2018-04-24 21:04:12.484641
0,0,11.389583904,-88.3139205105,2018-04-24 21:04:13.157025
0,0,17.2150566303,-88.4946309855,2018-04-24 21:04:13.799820
0,0,10.4733798338,-90.5762345028,2018-04-24 21:04:14.424420
0,0,11.9294866542,-89.6732485103,2018-04-24 21:04:15.087644
0,0,8.76508925106,-87.3603542426,2018-04-24 21:04:15.685621
0,0,9.70619374072,-89.8808380775,2018-04-24 21:04:16.287344
0,0,5.09846722402,-83.7567105533,2018-04-24 21:04:16.900137
0,0,7.04723946246,-87.8656413291,2018-04-24 21:04:17.510802
0,0,7.65167306969,-86.8982828521,2018-04-24 21:04:21.802852
0,0,2.35504267746,-84.3469210434,2018-04-24 21:04:22.438583
0,0,1.03737109324,-88.6949523351,2018-04-24 21:04:23.045812
0,0,-1.93763425654,-85.8518780629,2018-04-24 21:04:23.675500
0,0,0.19915284693,-129.311912745,2018-04-24 21:04:24.336031
0,0,14.8235881008,-108.124261311,2018-04-24 21:04:24.781909
0,0,8.12432526805,-105.736651863,2018-04-24 21:04:25.360101
0,0,6.80988110199,-91.565879401,2018-04-24 21:04:25.864936
0,0,11.0440126241,-91.0563471959,2018-04-24 21:04:26.405024
0,0,7.43473488755,-85.4202998169,2018-04-24 21:04:26.985155
0,0,1.77961175614,-88.4142345335,2018-04-24 21:04:31.398147
0,0,3.1149339266,-87.5923276552,2018-04-24 21:04:31.981492
0,0,2.4550125892,-86.6192976236,2018-04-24 21:04:32.506669
0,0,8.32359422607,-91.3528696435,2018-04-24 21:04:33.155227
0,0,23.5682687766,-71.7545339143,2018-04-24 21:04:33.772261
0,0,27.1211407041,-74.1535307388,2018-04-24 21:04:34.307777
0,0,13.8940926219,-80.5619500236,2018-04-24 21:04:34.884939
0,0,-1.54731448322,-76.9866681119,2018-04-24 21:04:35.485806
0,0,4.95672596772,-75.9800464399,2018-04-24 21:04:36.036247
0,0,17.6515836618,-69.984290864,2018-04-24 21:04:36.725804
0,0,7.07897892984,-73.4252283413,2018-04-24 21:04:37.241859
0,0,4.26529474705,-78.350098558,2018-04-24 21:04:37.675830
0,0,8.30601276185,-77.1043624641,2018-04-24 21:04:38.206205
0,0,5.71220297743,-72.0819821916,2018-04-24 21:04:38.729304
0,0,8.02604656935,-66.2529077929,2018-04-24 21:04:39.366958
0,0,4.4600032801,-70.5367089248,2018-04-24 21:04:40.000524
0,0,-7.07158838431,-113.619490057,2018-04-24 21:04:40.584164
0,0,11.8697379551,-101.702026554,2018-04-24 21:04:43.334466
0,0,3.06859267231,-66.8960695586,2018-04-24 21:04:43.979419
0,0,-15.8735848258,-81.4661637117,2018-04-24 21:04:44.562691
0,0,-25.7381565719,-77.4844102358,2018-04-24 21:04:45.087382
0,0,8.4277845378,-119.195406112,2018-04-24 21:04:45.587628
0,0,8.29036665785,-102.723171742,2018-04-24 21:04:46.109733
0,0,7.05874598488,-93.8005949788,2018-04-24 21:04:46.643596
0,0,21.2181264219,-92.1430295218,2018-04-24 21:04:47.156242
0,0,15.1789005979,-87.3001458983,2018-04-24 21:04:47.695686
0,0,15.9634596783,-92.5920390979,2018-04-24 21:04:48.218809
0,0,11.5422128389,-88.8463545986,2018-04-24 21:04:48.818102
0,0,23.9738538391,-85.6559814681,2018-04-24 21:04:49.386534
0,0,5.02871764122,-93.0021403571,2018-04-24 21:04:49.926388
0,0,-5.2671439329,-95.0318640846,2018-04-24 21:04:50.477041
