xpixel,ypixel,xestimate,yestimate,angleError,time
0,0,5.53504181733,-68.1199115564,10.8992397239,2018-04-24 23:12:26.730595
0,0,1.81263038941,-68.6871552972,11.0441711436,2018-04-24 23:12:28.067441
0,0,6.72878147461,-70.2639134507,11.3691787811,2018-04-24 23:12:28.409984
0,0,10.781574748,-67.7414295197,11.0474218005,2018-04-24 23:12:28.754028
0,0,9.55766513314,-66.414242117,10.7540898649,2018-04-24 23:12:29.213053
0,0,6.22106505808,-65.8444643792,10.7532356678,2018-04-24 23:12:29.555147
0,0,12.2654674783,-62.8034895646,10.3982712161,2018-04-24 23:12:29.926818
0,0,3.06946122284,-62.3586027836,10.0746286875,2018-04-24 23:12:30.387167
0,0,7.20871606311,-63.5004980391,10.3118426848,2018-04-24 23:12:30.757975
0,0,15.1142383345,-60.6705297547,10.0593231209,2018-04-24 23:12:31.204852
0,0,15.9306330546,-60.6816218779,10.1257312023,2018-04-24 23:12:31.547372
0,0,12.2258559753,-55.8462000953,9.23864316903,2018-04-24 23:12:31.885788
0,0,16.2262089927,-53.2307789067,9.00838640374,2018-04-24 23:12:32.238639
0,0,-13.8723833319,-55.0618456425,9.27487887063,2018-04-24 23:12:32.574781
0,0,2.17387224219,-71.7987053125,12.0401338332,2018-04-24 23:12:32.937188
0,0,-12.7288524423,-58.3509628642,9.90420215762,2018-04-24 23:12:33.273019
0,0,31.9449576851,-67.7625946733,11.8974868126,2018-04-24 23:12:33.732714
0,0,44.145520286,-68.1194234411,12.2032377321,2018-04-24 23:12:34.079554
0,0,38.579803262,-65.1515388541,11.8590490709,2018-04-24 23:12:34.418202
0,0,-3.32691359007,-61.2578119744,10.2192013007,2018-04-24 23:12:34.757383
0,0,24.1808173773,-60.9544709811,10.5280868199,2018-04-24 23:12:35.096467
0,0,19.2906989588,-66.7768863914,11.2195971071,2018-04-24 23:12:35.425825
0,0,20.6444924746,-66.8637888856,11.1789441566,2018-04-24 23:12:35.758409
0,0,20.3942462326,-67.4947478565,11.3810953227,2018-04-24 23:12:36.114892
0,0,22.1546431885,-66.6181625716,11.2343729554,2018-04-24 23:12:36.484335
0,0,-20.9791803197,-57.0087229291,10.0484356764,2018-04-24 23:12:36.844623
0,0,21.1232839596,-64.7256731429,10.9522869089,2018-04-24 23:12:37.182250
0,0,18.2763323639,-64.2872123596,10.7828048678,2018-04-24 23:12:37.522719
0,0,28.1346581107,-67.2377533644,11.6500290514,2018-04-24 23:12:37.863586
0,0,22.9880951779,-65.9508594022,11.1780180089,2018-04-24 23:12:38.196251
0,0,3.59102839534,-60.8809367452,9.97816237344,2018-04-24 23:12:38.551160
0,0,29.6639506666,-67.7170423579,11.8153145635,2018-04-24 23:12:38.917187
0,0,-11.8566262636,-57.5022819559,9.81324724757,2018-04-24 23:12:39.251806
0,0,37.4219308499,-62.6293033626,11.270407803,2018-04-24 23:12:39.607811
0,0,34.2084535403,-63.1348641535,11.1584987699,2018-04-24 23:12:39.952009
0,0,-19.5091597692,-54.8354229671,9.61820518875,2018-04-24 23:12:40.289977
0,0,23.4134359932,-63.0489293535,10.8402545417,2018-04-24 23:12:40.622032
0,0,26.8368179673,-61.5823108886,10.8291349454,2018-04-24 23:12:40.953168
0,0,-26.5101532966,-48.9298437264,9.11171681452,2018-04-24 23:12:41.290819
0,0,-19.4256790142,-63.2690560219,11.1599374754,2018-04-24 23:12:41.622154
0,0,24.1054639016,-66.6728464711,11.4156710464,2018-04-24 23:12:41.953115
0,0,24.0725882856,-66.4861168586,11.4097743401,2018-04-24 23:12:42.283080
0,0,31.6195498797,-66.5854846341,11.7708554121,2018-04-24 23:12:42.618485
0,0,33.6253055101,-65.8721443016,11.5139297368,2018-04-24 23:12:42.956036
0,0,31.8303130135,-65.5312934316,11.4699981171,2018-04-24 23:12:43.292319
0,0,31.3284531568,-64.4685243691,11.3383766448,2018-04-24 23:12:43.622731
0,0,31.7586158795,-63.932963839,11.2806951248,2018-04-24 23:12:43.958298
0,0,33.3626624774,-64.3205192884,11.1843705361,2018-04-24 23:12:44.290979
0,0,0.202312446509,-77.4368415504,13.0702215591,2018-04-24 23:12:44.623798
0,0,32.9606133936,-70.949994273,12.2572151314,2018-04-24 23:12:44.968940
