xpixel,ypixel,xestimate,yestimate,angleError,time
0,0,-26.6494265667,-59.3849617531,10.4035292175,2018-04-24 23:10:28.283233
0,0,-19.3917421874,-57.9904412832,10.0543324676,2018-04-24 23:10:29.246949
0,0,12.3925653539,-56.985390833,9.59239374324,2018-04-24 23:10:29.889052
0,0,-21.4808807862,-53.6435422372,9.88612808979,2018-04-24 23:10:30.391507
0,0,-9.61010288783,-57.8880860034,10.1875936993,2018-04-24 23:10:31.009141
0,0,11.5094326149,-73.1767514962,13.2561128233,2018-04-24 23:10:31.656245
0,0,9.12457353438,-63.1548349598,10.1469633446,2018-04-24 23:10:32.238617
0,0,-0.132260657249,-67.8358368729,12.0781975372,2018-04-24 23:10:32.834900
0,0,5.08475104412,-67.1981160309,11.9810301193,2018-04-24 23:10:33.381112
0,0,2.56569497001,-64.8021093232,11.5046212563,2018-04-24 23:10:33.926312
0,0,-79.3782613073,-73.5221200937,21.0816564778,2018-04-24 23:10:34.817542
0,0,24.6822818521,-62.9650010997,10.9956567116,2018-04-24 23:10:35.732033
0,0,4.14974552662,-60.1464504198,10.4333137571,2018-04-24 23:10:36.431584
0,0,25.5776142995,-65.0655973849,11.3726441837,2018-04-24 23:10:37.042560
0,0,6.85368802591,-66.2293801331,11.0801821835,2018-04-24 23:10:37.992165
0,0,9.85911517693,-61.9757917085,10.5557289337,2018-04-24 23:10:38.663463
0,0,-17.5881323112,-61.9806509079,11.4076845939,2018-04-24 23:10:39.334358
0,0,-12.2749207362,-53.5525575164,9.19746551199,2018-04-24 23:10:39.913193
0,0,40.0987530569,-70.0961503115,12.9169731228,2018-04-24 23:10:40.486901
0,0,4.05966733599,-66.9689858786,11.7694571972,2018-04-24 23:10:41.083464
0,0,11.4036259041,-67.9925743164,12.0626980655,2018-04-24 23:10:41.924137
0,0,24.9637242518,-72.8550434224,13.1983167333,2018-04-24 23:10:42.534590
0,0,13.1520197268,-70.4275921085,12.4050527598,2018-04-24 23:10:43.194225
0,0,-1.49220256481,-77.4899621074,13.4716432415,2018-04-24 23:10:43.802694
0,0,-11.5434289959,-64.3624915541,11.3263846026,2018-04-24 23:10:44.277981
0,0,-4.92141364739,-60.8319501541,10.5342126621,2018-04-24 23:10:44.844143
0,0,-6.7858044128,-58.8741458216,10.2114826883,2018-04-24 23:10:45.407104
0,0,-6.21137961491,-70.6061104373,12.3835807568,2018-04-24 23:10:46.192781
0,0,-8.43991723894,-69.451409272,12.42945057,2018-04-24 23:10:46.699075
0,0,-8.58632546191,-69.3798927397,12.4640173667,2018-04-24 23:10:47.253442
0,0,-7.66758469683,-71.182923344,12.7004034441,2018-04-24 23:10:47.825165
0,0,-10.330499811,-67.8583287718,12.0764198746,2018-04-24 23:10:48.785689
0,0,-14.8287232693,-65.4956092526,11.8093536144,2018-04-24 23:10:49.481232
0,0,3.14842188275,-71.3641922277,11.6010662627,2018-04-24 23:10:49.826436
0,0,19.1752112855,-91.2671375613,15.8202336162,2018-04-24 23:10:50.169096
0,0,15.0677128237,-76.5439227765,13.38419123,2018-04-24 23:10:50.516958
0,0,9.38913510919,-73.5616108834,12.781977999,2018-04-24 23:10:50.853809
0,0,7.80899716548,-69.7055546125,12.1055444267,2018-04-24 23:10:51.194517
0,0,11.8172151581,-67.8532522558,11.1658613513,2018-04-24 23:10:51.531168
0,0,4.15860876289,-68.2333994796,11.8248647795,2018-04-24 23:10:51.868265
0,0,5.7529935395,-64.9677381924,10.631265104,2018-04-24 23:10:52.202873
0,0,23.083414499,-86.0061430083,14.9457041659,2018-04-24 23:10:52.543799
0,0,22.9017635764,-82.5987981003,14.3174127269,2018-04-24 23:10:52.881900
