xpixel,ypixel,xestimate,yestimate,time
0,0,-11.1485664048,-22.4678863403,2018-04-24 20:46:18.195730
0,0,-14.1263512428,-23.9172294726,2018-04-24 20:46:26.337664
0,0,-10.2576800964,-24.4253766296,2018-04-24 20:46:30.027090
0,0,-4.53237655989,-27.7026075324,2018-04-24 20:46:35.161138
0,0,-6.40109486195,-25.1906711159,2018-04-24 20:46:39.696473
0,0,-24.721151899,26.6456035712,2018-04-24 20:46:42.411869
0,0,24.4961286462,-20.0018831136,2018-04-24 20:46:45.626684
0,0,47.7174613792,-47.4181169997,2018-04-24 20:46:48.334568
0,0,43.1635086684,-12.4459781038,2018-04-24 20:46:51.090881
0,0,53.9696130341,-36.2184981499,2018-04-24 20:46:52.812319
0,0,55.1207520433,-45.4398021602,2018-04-24 20:46:54.630842
0,0,8.84428487387,-34.3343377192,2018-04-24 20:46:56.439695
0,0,5.27739350608,-58.5152465616,2018-04-24 20:46:58.082145
0,0,-3.31336215043,-59.4985218767,2018-04-24 20:47:01.406050
0,0,6.47444329746,-51.4851547033,2018-04-24 20:47:03.780641
0,0,-0.667390039729,-51.8923974266,2018-04-24 20:47:09.356145
0,0,-28.6194011017,-172.211323783,2018-04-24 20:47:16.750112
0,0,5.11447196432,-56.8711432054,2018-04-24 20:47:19.855965
0,0,9.33207037015,-56.0878190018,2018-04-24 20:47:21.950354
0,0,95.3333033455,3.67380795227,2018-04-24 20:47:29.468632
0,0,35.0809614706,-56.1406049401,2018-04-24 20:47:34.415256
0,0,56.2574233377,-74.2346726517,2018-04-24 20:47:36.231410
0,0,58.1474722184,-43.2756469218,2018-04-24 20:47:37.767756
0,0,100.87901245,-42.7389815237,2018-04-24 20:47:52.456906
0,0,-20.9312271796,-178.025149918,2018-04-24 20:47:54.505291
0,0,-86.0446908972,-11.2245988788,2018-04-24 20:47:57.782457
0,0,-81.8832321364,-14.9211609486,2018-04-24 20:47:58.907684
