xpixel,ypixel,xestimate,yestimate,angleError,time
0,0,37.55494436,-66.9948919282,13.01808351,2018-04-24 22:49:26.145394
0,0,42.9229145648,-68.251211654,13.3641213782,2018-04-24 22:49:29.753727
0,0,24.3866928335,-89.7665043152,14.5942169292,2018-04-24 22:49:30.753303
0,0,36.2813181118,-64.0522442261,12.5000183361,2018-04-24 22:49:31.413440
0,0,26.2105329495,-93.8954637715,15.0596382602,2018-04-24 22:49:32.031758
0,0,57.975817442,-91.5120771075,17.5871646292,2018-04-24 22:49:33.519964
0,0,52.9297435281,-95.6662813865,17.9101115285,2018-04-24 22:49:34.156027
0,0,59.3055501808,-83.6697272811,16.9240050834,2018-04-24 22:49:34.737922
0,0,52.5337382821,-84.4894215216,16.4662237426,2018-04-24 22:49:35.396007
0,0,54.842703129,-73.1278336512,15.1773237177,2018-04-24 22:49:35.759488
0,0,38.2963272312,-91.7614308932,15.5803735551,2018-04-24 22:49:36.224573
0,0,39.7900103275,-84.1639815983,15.71983056,2018-04-24 22:49:36.676617
0,0,43.1216234296,-85.4307187081,15.9544983382,2018-04-24 22:49:37.106305
0,0,45.0190182435,-89.3360531315,15.7951364094,2018-04-24 22:49:37.532749
0,0,46.5169927748,-87.787356223,15.8001407357,2018-04-24 22:49:37.927561
0,0,45.8104146368,-78.4102165685,14.4157900332,2018-04-24 22:49:38.306554
0,0,49.0531343589,-88.4990483579,17.1935096259,2018-04-24 22:49:38.776412
0,0,64.8207316608,-89.7762866131,18.2080763997,2018-04-24 22:49:39.229580
0,0,57.8712322517,-90.5242976136,17.792282399,2018-04-24 22:49:39.571829
0,0,66.3378704613,-90.7728510245,18.4341055673,2018-04-24 22:49:39.944093
0,0,63.2879821555,-88.4708196775,16.9707328985,2018-04-24 22:49:40.298825
0,0,60.7431516348,-89.7372599613,17.1558031011,2018-04-24 22:49:40.760528
0,0,60.0817990162,-87.8301186811,16.8576427372,2018-04-24 22:49:41.214524
0,0,68.8004416546,-88.2282244405,17.5772282896,2018-04-24 22:49:41.581904
0,0,65.7027614737,-89.0230572181,17.6485160629,2018-04-24 22:49:41.920895
0,0,59.4503267126,-85.1375052211,16.8738376009,2018-04-24 22:49:42.281794
0,0,64.193574749,-84.0987789954,17.1280695926,2018-04-24 22:49:42.638016
