xpixel,ypixel,xestimate,yestimate,time
0,0,-99.5225558588,-96.5941082029,2018-04-24 20:48:56.831596
0,0,-140.48974142,-102.892537227,2018-04-24 20:49:13.127069
0,0,-51.5488031843,9.36822688665,2018-04-24 20:49:15.739976
0,0,-79.5728193208,-21.176446248,2018-04-24 20:49:20.087758
0,0,-84.7232640273,-1.45579541736,2018-04-24 20:50:28.423639
0,0,-75.9283412111,-22.4106826985,2018-04-24 20:50:31.131257
0,0,-84.5091972259,2.65160881974,2018-04-24 20:50:33.293643
0,0,-69.4578769637,0.205561510472,2018-04-24 20:50:39.294940
0,0,65.9131930379,-67.1358957418,2018-04-24 20:50:41.715152
0,0,94.3728712951,-53.2715960609,2018-04-24 20:50:44.599225
0,0,119.695266757,-40.3483036613,2018-04-24 20:50:46.752222
0,0,108.661699155,-38.9251811908,2018-04-24 20:50:50.482766
0,0,135.185578504,-70.8839283305,2018-04-24 20:50:51.690560
