xpixel,ypixel,xestimate,yestimate,angleError,time
0,0,24.3274066905,-64.9588066319,11.1522568139,2018-04-24 22:54:49.525126
0,0,18.4521235274,-68.2341982041,11.5328791471,2018-04-24 22:54:53.094343
0,0,20.9370290202,-66.7520586479,11.2549176953,2018-04-24 22:54:53.821516
0,0,22.6421450645,-73.8024400355,12.3786785342,2018-04-24 22:54:54.383437
0,0,22.7649574971,-68.3345713409,11.6809030972,2018-04-24 22:54:54.955686
0,0,33.3870274485,-78.3031336172,14.2595120856,2018-04-24 22:54:55.342221
0,0,31.9812783817,-75.3054045963,13.8801850977,2018-04-24 22:54:55.686679
0,0,32.6582290716,-76.3913535825,14.020040773,2018-04-24 22:54:56.028441
0,0,29.8555225284,-73.6211710019,13.4628406763,2018-04-24 22:54:56.368053
0,0,33.7787189075,-75.654193215,13.9399044603,2018-04-24 22:54:56.730357
0,0,29.4886500958,-71.4187403045,12.9209501548,2018-04-24 22:54:57.070300
0,0,37.4357706088,-74.7852314127,13.8373314244,2018-04-24 22:54:57.408283
0,0,27.3117427156,-76.2574095574,13.6354803985,2018-04-24 22:54:57.750347
0,0,28.5992255414,-77.9652622109,14.0863930322,2018-04-24 22:54:58.093500
0,0,31.6707818398,-78.4770559822,14.3719524305,2018-04-24 22:54:58.433592
0,0,29.5766619377,-76.7518641721,13.9072549629,2018-04-24 22:54:58.762773
0,0,27.4422935746,-78.0605440917,14.0592823557,2018-04-24 22:54:59.090140
0,0,28.3492318288,-74.6086934481,13.3955258044,2018-04-24 22:54:59.426001
0,0,33.1684470304,-76.3567927874,13.7968725782,2018-04-24 22:54:59.757045
0,0,14.6091794459,-68.4523248847,11.8277481863,2018-04-24 22:55:00.093430
0,0,31.0956081504,-53.2540263099,10.0045816427,2018-04-24 22:55:00.430661
0,0,40.0786020747,-67.589663591,12.7444688512,2018-04-24 22:55:00.763317
0,0,36.9920858668,-77.5890631919,14.2728557812,2018-04-24 22:55:01.094796
0,0,31.4283787828,-84.8545104086,15.1426118453,2018-04-24 22:55:01.430687
0,0,29.9789270689,-81.9493189026,14.8769772566,2018-04-24 22:55:01.789120
0,0,34.9855954838,-78.1160782711,14.4774366553,2018-04-24 22:55:02.216411
0,0,29.6758967666,-77.5560267546,14.2195691383,2018-04-24 22:55:02.676051
0,0,32.4869625764,-75.9534806125,13.7384885719,2018-04-24 22:55:03.127082
0,0,22.6624382177,-78.4194061833,13.8256786709,2018-04-24 22:55:03.495409
0,0,26.5540996241,-81.9826048534,14.5406611403,2018-04-24 22:55:03.952703
0,0,25.4796230305,-76.9238265881,13.7757864551,2018-04-24 22:55:04.284450
0,0,30.1303473087,-76.345678215,13.5009268901,2018-04-24 22:55:04.620686
0,0,28.4056580529,-85.031296864,15.082416928,2018-04-24 22:55:04.951506
0,0,32.0736833803,-82.049790867,14.6811990266,2018-04-24 22:55:05.280291
0,0,39.0764625178,-80.4207221197,14.6985369154,2018-04-24 22:55:05.632924
0,0,36.8700056673,-78.1812748879,14.3534053657,2018-04-24 22:55:05.983212
0,0,20.2541583404,-73.2891523292,12.9909730811,2018-04-24 22:55:06.338510
0,0,23.6786853167,-77.9748326378,14.0113200927,2018-04-24 22:55:06.694496
0,0,24.7196273419,-81.9035099271,14.4227687704,2018-04-24 22:55:07.152459
0,0,23.9568399686,-78.9731364231,13.9653930066,2018-04-24 22:55:07.513287
0,0,30.5261709287,-79.0762891307,14.1741594142,2018-04-24 22:55:07.846706
0,0,31.2483652293,-80.4050954538,14.3801132521,2018-04-24 22:55:08.177589
0,0,28.6737345215,-86.6626735504,15.1601590315,2018-04-24 22:55:08.507489
0,0,33.3635747847,-83.4392963657,14.7403416726,2018-04-24 22:55:08.840084
0,0,40.4112883051,-76.7089090693,14.2688367629,2018-04-24 22:55:09.205853
0,0,36.5453578467,-84.3218387011,15.233491838,2018-04-24 22:55:09.656681
0,0,38.240367335,-81.4368089962,14.993218312,2018-04-24 22:55:10.115074
0,0,41.3051501717,-73.1036197573,13.7225491583,2018-04-24 22:55:10.461874
0,0,34.971912014,-69.6006303822,12.8152471129,2018-04-24 22:55:10.806461
0,0,36.1318770355,-74.8267281283,13.6070864726,2018-04-24 22:55:11.247928
0,0,37.0071986571,-70.8090729419,12.9650827208,2018-04-24 22:55:11.655918
0,0,34.070063646,-80.2861946839,14.7423161554,2018-04-24 22:55:12.027351
0,0,37.0012197656,-81.4842861559,15.1042813293,2018-04-24 22:55:12.481583
0,0,39.2391359286,-79.4943029592,14.8323200498,2018-04-24 22:55:12.933067
0,0,31.1176603552,-82.1435425999,14.9590671157,2018-04-24 22:55:13.349592
0,0,23.5613843867,-83.2208380662,14.5659616949,2018-04-24 22:55:13.703767
0,0,41.2550420052,-81.5449590472,14.8690133162,2018-04-24 22:55:14.034837
0,0,35.1831892415,-81.6215850816,14.6050343691,2018-04-24 22:55:14.365471
0,0,33.7396180122,-70.3970105482,12.9504121094,2018-04-24 22:55:14.804320
0,0,34.9885177029,-71.6907954437,13.167136854,2018-04-24 22:55:15.253219
0,0,36.0045240981,-74.8592001503,13.6940321787,2018-04-24 22:55:15.598631
0,0,32.6181086678,-77.1701008859,14.3463977386,2018-04-24 22:55:15.957053
0,0,29.6515789862,-81.8619560514,14.4903036895,2018-04-24 22:55:16.328409
0,0,39.3704096258,-70.9830675712,12.878430993,2018-04-24 22:55:16.668591
0,0,21.6152212813,-83.0918095441,13.9655586745,2018-04-24 22:55:17.027083
0,0,26.7681393243,-83.4986139419,14.709524932,2018-04-24 22:55:17.398620
0,0,27.1933315739,-79.1997822824,14.2351924325,2018-04-24 22:55:17.765483
0,0,29.973988379,-72.3397953048,12.9385677622,2018-04-24 22:55:18.110307
0,0,29.7398688785,-73.3650665957,12.9043995243,2018-04-24 22:55:18.450569
0,0,33.3396633702,-71.0037181965,12.7837549919,2018-04-24 22:55:22.885438
0,0,38.6052728875,-72.1331070093,13.1422383755,2018-04-24 22:55:24.675674
0,0,35.7378165779,-72.9227366669,13.1833389604,2018-04-24 22:55:25.083770
