xpixel,ypixel,xestimate,yestimate,angleError,time
0,0,54.0262080387,-59.2490985505,13.8360489646,2018-04-24 22:01:45.803126
0,0,48.0929636269,-63.1958779318,13.9143111131,2018-04-24 22:01:46.560249
0,0,45.7013959572,-83.0033706346,16.0904597922,2018-04-24 22:01:47.117417
0,0,51.5563545281,-62.6031563483,14.0689858832,2018-04-24 22:01:47.663524
0,0,45.5107261656,-65.3237025438,14.0550004288,2018-04-24 22:01:48.181996
0,0,56.0158860186,-64.2790653363,14.7632082364,2018-04-24 22:01:48.709186
0,0,35.8144784266,-76.1610801915,16.3884978856,2018-04-24 22:01:51.671084
0,0,20.1034061066,-78.5434379787,14.4360978574,2018-04-24 22:01:53.809780
0,0,3.1968916459,-74.3205175339,13.2829888797,2018-04-24 22:01:54.632387
0,0,11.3837697206,-72.7815713522,13.2900700865,2018-04-24 22:01:55.375907
0,0,33.3541775292,-80.0035407645,17.1405140735,2018-04-24 22:01:55.975250
0,0,34.9577058298,-79.5020233655,17.1879918738,2018-04-24 22:01:56.550291
0,0,31.8660334278,-87.2733876613,18.2144093009,2018-04-24 22:01:57.157468
0,0,33.7752751666,-87.4343652999,18.2466573839,2018-04-24 22:01:57.851168
0,0,54.6623415939,-87.9280959605,18.1041564053,2018-04-24 22:01:58.545600
0,0,47.0498611009,-81.9831071362,16.1758144781,2018-04-24 22:01:58.976597
0,0,36.4726591274,-90.5497299022,18.8672813456,2018-04-24 22:01:59.491427
0,0,33.1997838351,-79.1439846385,16.4766375007,2018-04-24 22:02:01.776222
0,0,31.2439222762,-77.2090694366,16.4399538179,2018-04-24 22:02:02.354590
0,0,32.4518288764,-81.049666973,17.1052024251,2018-04-24 22:02:02.897990
